,votes_dem_2016,votes_gop_2016,total_votes_2016,state_abbr
476,1271,2759,4100,GA
477,1356,2623,4109,GA
478,14614,21308,36813,GA
479,2216,9613,12324,GA
480,2705,1540,4287,GA
481,2423,9195,11945,GA
482,1213,1921,3183,GA
483,3699,5432,9268,GA
484,2298,3482,5893,GA
485,3800,5216,9181,GA
486,622,1888,2540,GA
487,3492,4272,7857,GA
488,3570,8821,12675,GA
489,847,2668,3560,GA
490,2658,6559,9435,GA
491,1799,10340,12422,GA
492,39602,26901,68320,GA
493,21936,20907,43787,GA
494,5253,12885,19030,GA
495,1829,4622,6650,GA
496,18004,44646,64601,GA
497,5083,5405,10699,GA
498,1977,11651,13982,GA
499,903,6301,7297,GA
500,1239,7273,8675,GA
501,2863,11006,14158,GA
502,1104,2436,3598,GA
503,2745,6516,9431,GA
504,461,575,1044,GA
505,1443,6287,7949,GA
506,1597,1270,2895,GA
507,48707,24441,74952,GA
508,23206,13463,37589,GA
509,401,1472,1909,GA
510,2300,3305,5699,GA
511,1186,2343,3577,GA
512,9347,15636,25940,GA
513,1835,7682,9760,GA
514,1220,805,2053,GA
515,5520,5275,10973,GA
516,2001,1196,3243,GA
517,545,349,897,GA
518,1678,5092,6879,GA
519,1295,2062,3402,GA
520,1313,2449,3794,GA
521,2267,1872,4179,GA
522,7138,11225,18730,GA
523,3892,8680,12796,GA
524,2338,6612,9108,GA
525,1206,5377,6726,GA
526,860,1808,2700,GA
527,9597,15643,25793,GA
528,1243,2094,3390,GA
529,1970,2034,4053,GA
530,1962,9849,12039,GA
531,3471,7288,10924,GA
532,4213,18938,23939,GA
533,8279,31093,40425,GA
534,3436,8508,12150,GA
535,1313,991,2332,GA
536,4187,4138,8422,GA
537,2039,8147,10376,GA
538,471,630,1114,GA
539,646,1421,2102,GA
540,1672,9751,11771,GA
541,7925,21514,30362,GA
542,852,2096,2973,GA
543,1844,2569,4470,GA
544,1893,2332,4276,GA
545,2015,6144,8266,GA
546,41258,17500,64865,HI
547,175634,90296,285683,HI
548,16456,7574,26335,HI
549,33479,13445,51942,HI
550,1127,2456,3759,IA
551,565,1393,2082,IA
552,2409,4072,6837,IA
553,1813,4031,6096,IA
554,1079,2135,3379,IA
555,4672,8226,13690,IA
556,32006,27382,63221,IA
557,5517,7458,13984,IA
558,5349,7199,13350,IA
559,3966,5504,10137,IA
560,2851,4895,8179,IA
561,2163,4918,7457,IA
562,1396,3466,5105,IA
563,3305,6627,10435,IA
564,1946,4755,7055,IA
565,3578,5275,9386,IA
566,9840,11583,22633,IA
567,1676,4188,6186,IA
568,2264,3739,6367,IA
569,1463,2706,4405,IA
570,2246,5870,8542,IA
571,3236,5309,9098,IA
572,10079,11249,22748,IA
573,1985,4608,6862,IA
574,15662,19288,37617,IA
575,976,2721,3858,IA
576,1201,2296,3703,IA
577,2956,5688,9165,IA
578,8178,9479,18713,IA
579,3051,6743,10247,IA
580,22774,23384,49037,IA
581,1356,3121,4707,IA
582,3666,5591,9813,IA
583,3177,4371,7985,IA
584,1490,3153,4915,IA
585,959,2401,3554,IA
586,1688,2819,4762,IA
587,1847,4516,6766,IA
588,1720,3603,5654,IA
589,2715,4450,7589,IA
590,1582,3972,5815,IA
591,2774,5231,8423,IA
592,2123,4892,7378,IA
593,2897,5764,9286,IA
594,1674,2611,4507,IA
595,1251,3564,5033,IA
596,792,2655,3590,IA
597,3070,5193,8789,IA
598,3837,5821,10204,IA
599,7108,10556,18776,IA
600,3702,3738,8001,IA
601,49942,20993,75637,IA
602,3779,5718,10011,IA
603,1265,3385,4858,IA
604,2529,5637,8505,IA
605,6195,8762,15893,IA
606,58481,48183,114664,IA
607,1643,3060,4943,IA
608,1236,2873,4297,IA
609,917,5188,6336,IA
610,2666,5336,8523,IA
611,2606,7404,10494,IA
612,5469,10940,17554,IA
613,7623,9125,17700,IA
614,2080,5050,7608,IA
615,1879,3180,5360,IA
616,1244,3115,4525,IA
617,1053,2635,3844,IA
618,1312,3431,4998,IA
619,8284,9549,19086,IA
620,1314,5735,7348,IA
621,552,2528,3197,IA
622,1801,4875,6968,IA
623,1395,3079,4674,IA
624,2878,9659,13057,IA
625,962,2692,3831,IA
626,119671,93421,228420,IA
627,15341,24441,42226,IA
628,4272,4936,9693,IA
629,753,1820,2684,IA
630,1269,3692,5158,IA
631,40302,39083,84878,IA
632,1649,4340,6270,IA
633,2289,14761,17989,IA
634,25085,19111,48910,IA
635,3194,4968,8636,IA
636,755,2108,3003,IA
637,1920,3521,5768,IA
638,843,2524,3526,IA
639,5591,8710,14996,IA
640,10371,14773,26916,IA
641,3938,6170,10824,IA
642,719,2069,2921,IA
643,6293,10049,17239,IA
644,1920,3437,5717,IA
645,5238,5332,11217,IA
646,16102,24627,42933,IA
647,1523,2443,4216,IA
648,1890,3790,5949,IA
649,75676,93748,195587,ID
650,415,1556,2183,ID
651,10342,17180,33405,ID
652,255,2203,2928,ID
653,780,3101,4192,ID
654,2924,10907,16625,ID
655,6416,3340,10723,ID
656,777,2673,3812,ID
657,5140,10220,16815,ID
658,8930,26699,44212,ID
659,933,3789,5150,ID
660,160,914,1230,ID
661,110,410,599,ID
662,16683,46755,72007,ID
663,271,2275,3035,ID
664,1036,5949,8178,ID
665,44,203,283,ID
666,704,2852,3801,ID
667,427,1777,2413,ID
668,1814,5816,8519,ID
669,385,3901,5499,ID
670,651,4091,5714,ID
671,1229,5980,7952,ID
